infile dictionary{
V1 V2 V3 V4 V5
}
2597 7.967 155.612 107.642 245.328
410 0.156 39.001 34.763 90.839
71 0 4.965 8.794 18.167
323 0.005 5.254 18.76 46.332
323 0.022 9.968 23.407 46.104
317 0 6.165 27.002 61.388
276 0.196 8.705 27.276 57.8
244 0 10.884 26.065 55.36
217 5.464 15.788 27.991 59.055
238 0.013 6.585 18.929 39.648
718 4.595 8.736 19.97 62.631
182 0 9.022 21.9 48
410 0.157 8.26 41.665 79.405
208 0.032 3.265 15.783 33.758
193 3.248 13.911 16.665 36.686
222 0.027 8.783 24.975 59.062
172 0.083 2.562 10.306 22.865
42 0 5.21 28.482 41.455
201 0.166 6.958 17.003 37.938
208 0.229 20.858 7.58 25.539
49 0.032 0.857 2.587 8.317
177 0.323 5.278 15.262 32.211
171 0.069 14.576 8.329 23.106
78 1.937 2.65 10.257 19.468
279 0.881 1.243 6.773 31.318
111 0 5.868 15.349 34.86
63 0.038 0.479 12.893 18.903
190 0.133 2.745 8.451 21.711
64 0 1.396 6.476 11.903
5 0 2.283 0.174 2.21
26 0.015 0.398 2.034 4.543
128 0.001 3.257 8.177 16.846
65 0.025 0.455 7.975 14.988
107 0.11 7.808 7.892 17.013
539 0.113 11.473 37.244 80.333
60 0.005 1.177 9.236 17.718
41 0.014 2.117 4.925 15.77
92 1.54 3.43 7.445 18.589
127 0.054 1.009 8.668 18.233
138 6.169 7.224 28.609 53.769
92 0.01 1.333 6.985 14.971
39 0.756 1.588 6.087 12.186
83 0.27 1.193 9.833 16.735
283 0.097 5.166 7.286 22.817
258 0.311 2.082 4.525 18.106
89 0.072 0.937 7.686 14.835
91 0.027 0.226 4.782 12.186
137 0.103 3.06 4.82 11.824
79 0.174 0.917 3.743 10.113
26 0.005 0.197 1.437 3.045
14 0 0.385 6.804 10.055
64 0.108 0.669 6.544 12.463
41 0.017 0.092 2.383 5.972
11 0 0.346 1.041 2.551
38 0 0.126 0.797 2.674
116 0.169 2.44 6.382 19.341
136 0.43 2.297 5.04 16.218
94 0.028 0.469 2.573 9.785
16 0.01 0.123 1.914 4.104
75 0 1.95 6.828 13.246
73 0.021 1.345 3.174 7.86
39 0 1.095 7.55 11.566
65 0.03 1.05 3.615 8.023
132 0.088 0.339 2.141 7.647
44 0.007 0.063 2.127 9.363
46 0.028 1.756 5.487 9.007
64 0.009 1.665 4.515 9.963
93 0.023 0.28 1.89 8.271
77 0.011 1.054 4.49 9.49
40 0.032 0.948 2.545 8.258
39 0.053 0.967 3.084 6.512
44 0.009 0.754 2.721 6.344
85 0.132 2.915 7.485 14.264
55 0 0.84 4.357 8.875
27 0.005 1.269 2.825 5.281
47 0 0.461 1.873 5.076
32 0 0.311 1.564 5.256
14 0 1.512 5.679 7.385
45 0.458 0.817 5.208 8.501
84 0.004 1.093 2.26 6.756
317 0 5.708 2.87 19.941
24 0.002 1.615 1.732 3.931
2 0 0 0 0.235
46 0.086 0.187 2.788 6.556
22 0.013 0.401 0.657 1.99
45 0.001 0.681 4.26 7.421
36 0 0.917 2.577 5.464
20 0 0.246 5.669 8.932
32 0 1.011 4.257 7.139
43 0.021 0.932 3.192 7.309
18 0.015 0.181 1.737 2.942
36 0 0.282 3.5 6.157
25 0.006 0.106 3.901 5.476
19 0.068 0.165 2.386 4.229
37 0.039 0.151 0.327 2.051
83 0.012 1.188 2.214 7.153
31 0.001 0.176 1.645 4.152
56 0.02 0.822 3.738 7.475
25 0.096 0.388 3.275 5.65
44 0.002 0.291 4.318 8.141
24 0 0.187 1.549 3.302
44 0 0.243 4.868 9.002
26 0.009 0.304 1.103 3.328
45 0.057 0.093 2.207 5.186
52 0.009 0.442 1.704 4.553
34 0.034 0.63 2.596 5.723
6 0 0.097 0.678 1.246
34 0.038 0.365 3.206 5.817
44 0.009 1.075 1.743 5.012
34 0.12 0.384 1.707 3.843
49 0.274 1.34 2.688 6.35
41 0.007 0.875 3.829 6.385
105 0.05 0.672 8.943 16.54
38 0.017 0.787 2.624 4.97
42 0.066 0.288 3.168 6.332
27 0.001 0.135 1.569 3.342
34 0 0.237 1.331 3.676
25 0.027 0.03 0.695 2.661
21 0.001 5.51 0.883 2.232
20 0 0.615 2.141 4.418
26 0.146 0.26 1.606 3.696
44 0 0.888 1.848 5.294
46 0.629 1.39 1.835 8.995
45 0.006 0.566 1.829 6.421
23 0.001 0.497 1.326 3.217
38 0 0.047 1.836 4.267
42 0 0.157 1.441 4.797
42 0.153 0.326 1.829 4.6
24 0.004 0.235 1.405 3.481
29 0.029 0.086 0.741 2.621
8 0.001 0.04 1.663 2.342
20 0 7.558 2.645 6.156
25 0.005 0.106 1.558 3.035
31 0.005 0.266 1.962 4.826
28 0 0.204 2.482 4.855
17 0.153 0.109 1.761 3.286
15 0 0.124 1.269 2.439
15 0.025 0.087 0.179 1.068
48 0.335 0.225 1.175 3.337
13 0 0.218 1.13 2.723
14 0 0.528 1.439 2.596
80 0.346 0.329 1.917 7.117
69 0 0.592 11.42 17.57
20 0.002 0.161 2.22 4.647
24 0 0.079 1.047 2.538
11 0.003 0.056 1.338 2.287
4 0.02 0.054 0.496 0.98
9 0.011 0.074 0.632 1.437
18 0.007 0.916 2.104 3.89
26 0.007 0.224 1.85 3.537
11 0.015 0.269 0.628 1.579
40 0 0.113 1.283 3.485
12 0 0.274 1.385 2.621
